03:13:19:531	ae040	buf: {"id":0,"jsonrpc":"2.0","result":["0xde8054561b1e417db39820b3a32021b0b994c8131616f6de496fae6ab19f8693","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3cf88a"]}

03:13:19:531	ae040	parse packet: 247
03:13:19:531	ae040	ETH: job changed
03:13:19:531	ae040	new buf size: 0
03:13:19:532	ae040	ETH: 07/09/17-03:13:19 - New job from eu1.ethermine.org:4444
03:13:19:532	ae040	target: 0x0000000112e0be82 (diff: 4000MH), epoch 133(2.04GB)
03:13:19:534	ae040	ETH - Total Speed: 29.236 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
03:13:19:535	ae040	ETH: GPU0 29.236 Mh/s
03:13:19:536	ae040	 DCR - Total Speed: 584.725 Mh/s, Total Shares: 0, Rejected: 0
03:13:19:536	ae040	 DCR: GPU0 584.725 Mh/s
03:13:24:094	ae040	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x1bebbff", "0x000000000000000000000000000000000000000000000000000000007c5ac81c"]}

03:13:24:109	ae040	ETH: checking pool connection...
03:13:24:109	ae040	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

03:13:24:203	ae040	got 39 bytes
03:13:24:203	ae040	buf: {"id":6,"jsonrpc":"2.0","result":true}

03:13:24:203	ae040	parse packet: 38
03:13:24:203	ae040	new buf size: 0
03:13:24:266	ae040	got 248 bytes
03:13:24:266	ae040	buf: {"id":3,"jsonrpc":"2.0","result":["0xde8054561b1e417db39820b3a32021b0b994c8131616f6de496fae6ab19f8693","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3cf88a"]}

03:13:24:266	ae040	parse packet: 247
03:13:24:266	ae040	ETH: job is the same
03:13:24:266	ae040	new buf size: 0
03:13:29:924	afec0	GPU0 t=57C fan=52%
03:13:29:924	afec0	em hbt: 0, dm hbt: 0, fm hbt: 94, 
03:13:29:924	afec0	watchdog - thread 0 (gpu0), hb time 156
03:13:29:924	afec0	watchdog - thread 1 (gpu0), hb time 47
03:13:32:971	ae040	got 248 bytes
03:13:32:971	ae040	buf: {"id":0,"jsonrpc":"2.0","result":["0x3749b97b91201123ca8d0dfd93fb2e3e54716097fe4835cfe5ef45f4357a0648","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3cf88b"]}

03:13:32:971	ae040	parse packet: 247
03:13:32:971	ae040	ETH: job changed
03:13:32:971	ae040	new buf size: 0
03:13:32:971	ae040	ETH: 07/09/17-03:13:32 - New job from eu1.ethermine.org:4444
03:13:32:971	ae040	target: 0x0000000112e0be82 (diff: 4000MH), epoch 133(2.04GB)
03:13:32:971	ae040	ETH - Total Speed: 29.221 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
03:13:32:971	ae040	ETH: GPU0 29.221 Mh/s
03:13:32:971	ae040	 DCR - Total Speed: 584.423 Mh/s, Total Shares: 0, Rejected: 0
03:13:32:971	ae040	 DCR: GPU0 584.423 Mh/s
03:13:34:127	ae040	ETH: checking pool connection...
03:13:34:127	ae040	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

03:13:34:252	ae040	got 248 bytes
03:13:34:252	ae040	buf: {"id":3,"jsonrpc":"2.0","result":["0x3749b97b91201123ca8d0dfd93fb2e3e54716097fe4835cfe5ef45f4357a0648","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3cf88b"]}

03:13:34:252	ae040	parse packet: 247
03:13:34:252	ae040	ETH: job is the same
03:13:34:252	ae040	new buf size: 0
03:13:35:503	b3e00	DCR: put share nonce bac31ad enonce 21ea28cb
03:13:35:503	b3e00	DCR round found 1 shares
03:13:35:518	b0a10	 DCR: 07/09/17-03:13:35 - SHARE FOUND - (GPU 0)
03:13:35:518	b0a10	send: {"params": ["1BDWnsHhJHyWQNDtScrQN1xc1i9VrQ4vAQ", "00000017677ae817", "ea28cb", "5961831f", "ad31ac0b"], "id": 4, "method": "mining.submit"}

03:13:35:628	b0a10	got 36 bytes
03:13:35:628	b0a10	buf: {"id":4,"result":true,"error":null}

03:13:35:628	b0a10	parse packet: 35
03:13:35:628	b0a10	 DCR: Share accepted (109 ms)!
03:13:35:628	b0a10	new buf size: 0
03:13:44:113	ae040	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x1c079a5", "0x000000000000000000000000000000000000000000000000000000007c5ac81c"]}

03:13:44:144	ae040	ETH: checking pool connection...
03:13:44:144	ae040	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

03:13:44:191	ae040	got 39 bytes
03:13:44:191	ae040	buf: {"id":6,"jsonrpc":"2.0","result":true}

03:13:44:191	ae040	parse packet: 38
03:13:44:191	ae040	new buf size: 0
03:13:44:269	ae040	got 248 bytes
03:13:44:269	ae040	buf: {"id":3,"jsonrpc":"2.0","result":["0x3749b97b91201123ca8d0dfd93fb2e3e54716097fe4835cfe5ef45f4357a0648","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3cf88b"]}

03:13:44:269	ae040	parse packet: 247
03:13:44:269	ae040	ETH: job is the same
03:13:44:269	ae040	new buf size: 0
03:13:51:817	b3e00	DCR: put share nonce c854048 enonce 218c29cb
03:13:51:817	b3e00	DCR round found 1 shares
03:13:51:832	b0a10	 DCR: 07/09/17-03:13:51 - SHARE FOUND - (GPU 0)
