10:49:25:752	b99f0	 DCR - Total Speed: 0.000 Mh/s, Total Shares: 0, Rejected: 0
10:49:25:753	b99f0	 DCR: GPU0 0.000 Mh/s
10:49:27:706	b9d2c	GPU0 DAG creation time - 5678 ms
10:49:27:709	b9d2c	Setting DAG epoch #133 for GPU0 done
10:49:30:192	b99f0	ETH: checking pool connection...
10:49:30:192	b99f0	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

10:49:30:258	b99f0	got 248 bytes
10:49:30:258	b99f0	buf: {"id":3,"jsonrpc":"2.0","result":["0x1f1623ec248cfea4e321d57368da191e9d3f50268d6d6c603e7f4543cf0f1f8e","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11fd"]}

10:49:30:258	b99f0	parse packet: 247
10:49:30:259	b99f0	ETH: job is the same
10:49:30:259	b99f0	new buf size: 0
10:49:40:192	b99f0	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x1c0ad28", "0x00000000000000000000000000000000000000000000000000000000f7b26846"]}

10:49:40:206	b99f0	ETH: checking pool connection...
10:49:40:206	b99f0	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

10:49:40:386	b99f0	got 39 bytes
10:49:40:386	b99f0	buf: {"id":6,"jsonrpc":"2.0","result":true}

10:49:40:386	b99f0	parse packet: 38
10:49:40:386	b99f0	new buf size: 0
10:49:40:436	b99f0	got 248 bytes
10:49:40:436	b99f0	buf: {"id":3,"jsonrpc":"2.0","result":["0x1f1623ec248cfea4e321d57368da191e9d3f50268d6d6c603e7f4543cf0f1f8e","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11fd"]}

10:49:40:436	b99f0	parse packet: 247
10:49:40:437	b99f0	ETH: job is the same
10:49:40:437	b99f0	new buf size: 0
10:49:45:236	b6d00	GPU0 t=57C fan=52%
10:49:45:236	b6d00	em hbt: 0, dm hbt: 0, fm hbt: 62, 
10:49:45:237	b6d00	watchdog - thread 0 (gpu0), hb time 15
10:49:45:237	b6d00	watchdog - thread 1 (gpu0), hb time 125
10:49:49:747	b6830	got 405 bytes
10:49:49:747	b6830	buf: {"params":["000000176c0e4c8a","b1d1d751c296a3ce0d672d9c06029199061c61deab464c18000000ea00000000","d6c6c8e4a2103c0e87aea46e2e07c59ae9686a3ec115b47864dee7d66c99ac6ac3ab80e933539153b94d0175565dd6c7b3aa918c74dcddb69c982207514f01f401005d8f82c752a70500020092a300002180011a5247b9ad010000001b480200be0d0000ae3f635900000000","04000000",[],"04000000","1a018021","59633fae",true],"id":null,"method":"mining.notify"}

10:49:49:747	b6830	parse packet: 404
10:49:49:747	b6830	new buf size: 0
10:49:49:748	b6830	 DCR: 07/10/17-10:49:49 - New job from decred.eu.nicehash.com:3354
10:49:49:748	b6830	target: 0x000000003fffc000 (diff: 17GH), block #149531
10:49:50:223	b99f0	ETH: checking pool connection...
10:49:50:223	b99f0	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

10:49:50:311	b99f0	got 248 bytes
10:49:50:311	b99f0	buf: {"id":3,"jsonrpc":"2.0","result":["0x1f1623ec248cfea4e321d57368da191e9d3f50268d6d6c603e7f4543cf0f1f8e","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11fd"]}

10:49:50:311	b99f0	parse packet: 247
10:49:50:311	b99f0	ETH: job is the same
10:49:50:311	b99f0	new buf size: 0
10:49:51:675	b6830	got 405 bytes
10:49:51:675	b6830	buf: {"params":["000000176c0eb267","b3f21f8d870fe3fa7fcbb0892c738f896b9b88a446808a990000016e00000000","3a84673cc3eb5e177cc7f726abb6099ec59ced0036f984666841e979a89fe0bc2a7558d769e754659e9a111636ac5d9a801a3b5ca7ef39ab304b7b890392822d0100b7a6038aea86050001008da300002180011a5247b9ad010000001c480200070d0000b03f635900000000","04000000",[],"04000000","1a018021","59633fb0",true],"id":null,"method":"mining.notify"}

10:49:51:675	b6830	parse packet: 404
10:49:51:676	b6830	new buf size: 0
10:49:51:676	b6830	 DCR: 07/10/17-10:49:51 - New job from decred.eu.nicehash.com:3354
10:49:51:676	b6830	target: 0x000000003fffc000 (diff: 17GH), block #149532
10:49:53:775	b99f0	got 248 bytes
10:49:53:776	b99f0	buf: {"id":0,"jsonrpc":"2.0","result":["0x135ea382cc5753b433b96aa41545b6bdf37d02d3269c19976d21535f3a9250c7","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11fe"]}

10:49:53:776	b99f0	parse packet: 247
10:49:53:776	b99f0	ETH: job changed
10:49:53:777	b99f0	new buf size: 0
10:49:53:777	b99f0	ETH: 07/10/17-10:49:53 - New job from eu1.ethermine.org:4444
10:49:53:778	b99f0	target: 0x0000000112e0be82 (diff: 4000MH), epoch 133(2.04GB)
10:49:53:781	b99f0	ETH - Total Speed: 29.402 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
10:49:53:782	b99f0	ETH: GPU0 29.402 Mh/s
10:49:53:786	b99f0	 DCR - Total Speed: 588.048 Mh/s, Total Shares: 0, Rejected: 0
10:49:53:792	b99f0	 DCR: GPU0 588.048 Mh/s
10:50:00:208	b99f0	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x1c08f64", "0x00000000000000000000000000000000000000000000000000000000f7b26846"]}

10:50:00:238	b99f0	ETH: checking pool connection...
10:50:00:238	b99f0	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

10:50:00:286	b99f0	got 39 bytes
10:50:00:286	b99f0	buf: {"id":6,"jsonrpc":"2.0","result":true}

10:50:00:286	b99f0	parse packet: 38
10:50:00:286	b99f0	new buf size: 0
10:50:00:341	b99f0	got 248 bytes
